Date,Open,High,Close,Low,Trades,Change,Company
6/5/2025,257.85,270.17,268.87,257.22,13070565,4.273802598,IBM
5/29/2025,261,265,259.06,256.77,17566804,-0.7432950192,IBM
5/22/2025,265.45,269.28,258.63,255.79,15204641,-2.569222076,IBM
5/15/2025,252.5,267.98,266.76,244.65,20440246,5.647524752,IBM
10/30/2025,189.99,190.8,188.87,184.66,41870675,-0.5895047108,JNJ
10/23/2025,193.5,194.48,190.4,189.42,36880442,-1.602067183,JNJ
10/16/2025,189.83,194.4,193.22,185.88,49442020,1.785808355,JNJ
10/9/2025,188,192.1,190.72,182.94,37416819,1.446808511,JNJ
10/2/2025,179.825,189.7825,188.64,179.8,49633046,4.901988044,JNJ
9/25/2025,176.09,179.91,179.71,174.12,39330759,2.055766937,JNJ
9/18/2025,177.76,178.99,176.19,173.33,53265195,-0.8832133213,JNJ
9/11/2025,177.36,179.445,178.06,174.33,34292807,0.3946774921,JNJ
9/4/2025,177.47,179.505,178.43,176.53,33429130,0.5409364963,JNJ
8/28/2025,179.52,180.26,177.17,174.63,34692299,-1.309046346,JNJ
8/21/2025,176.5,181.16,179.29,175.976,45972576,1.580736544,JNJ
8/14/2025,173.4,177.265,176.64,171.81,38772382,1.868512111,JNJ
8/7/2025,167.03,173.955,173.33,166.64,46573484,3.771777525,JNJ
7/31/2025,167.86,168.7817,167.33,164.23,41831617,-0.3157393066,JNJ
7/24/2025,163.77,169.99,168.3,162.78,41051731,2.766074373,JNJ
7/17/2025,156.87,166.12,163.7,154.8,60282394,4.353923631,JNJ
7/10/2025,156.02,159.24,156.9,154.21,33462093,0.5640302525,JNJ
7/2/2025,152.16,157.75,156.01,151.52,28962779,2.530231335,JNJ
6/26/2025,149.74,153.33,152.41,149.74,41263468,1.783090691,JNJ
6/19/2025,156.42,156.495,149.79,149.04,44361801,-4.238588416,JNJ
6/12/2025,154.85,157.67,157.1,154.45,31790512,1.453019051,JNJ
6/5/2025,154.48,156.03,155.03,152.3,32551386,0.3560331434,JNJ
5/29/2025,152.52,155.71,155.21,151.56,37790702,1.763703121,JNJ
5/22/2025,151.89,154.43,152.94,151.05,41286498,0.6912897492,JNJ
5/15/2025,152.02,155.36,151.33,146.115,45786261,-0.4538876464,JNJ
10/30/2025,302.16,312.87,311.12,301.01,34734392,2.965316389,JPM
10/23/2025,298.5,304.05,300.44,290.5448,34988869,0.6499162479,JPM
10/16/2025,305.6,312.1199,297.56,294.2,59025114,-2.630890052,JPM
10/9/2025,310.18,311.7474,300.89,300.81,37816318,-2.995035141,JPM
10/2/2025,317.06,318.01,310.03,306.14,41150795,-2.217245947,JPM
9/25/2025,309.8,317.81,316.06,309.555,37756457,2.020658489,JPM
9/18/2025,307.17,315.8,314.78,307.1347,57924596,2.477455481,JPM
9/11/2025,294.89,307.55,306.91,291.44,38613168,4.076096171,JPM
9/4/2025,300.26,305.15,294.38,294.31,29839161,-1.958302804,JPM
8/28/2025,296.24,302.95,301.42,293.5001,31834435,1.748582231,JPM
8/21/2025,290,297.16,296.24,287.27,33969628,2.151724138,JPM
8/14/2025,289.4,295.5,290.49,287.16,36165453,0.3766413269,JPM
8/7/2025,290.26,295.785,288.76,284.706,34853645,-0.516778061,JPM
7/31/2025,297.66,301.2931,289.37,284.2376,48294641,-2.785056776,JPM
7/24/2025,291,299.5899,298.62,289.18,34619229,2.618556701,JPM
7/17/2025,287.07,292.5,291.27,283.01,52312341,1.463057791,JPM
7/10/2025,295.25,296.04,286.86,280.31,51338910,-2.84165961,JPM
7/2/2025,290.4,296.4,296,286.59,36727754,1.928374656,JPM
6/26/2025,275.06,289.41,287.11,272.1128,51000096,4.380862357,JPM
6/19/2025,267,277.72,275,266.85,38861395,2.996254682,JPM
6/12/2025,266,269.6199,264.95,262.71,36973854,-0.3947368421,JPM
6/5/2025,263.02,267.12,265.73,260.31,34842650,1.030339898,JPM
5/29/2025,262.04,266.72,264,261.99,29101617,0.747977408,JPM
5/22/2025,265.55,268.32,260.71,256.0001,41231381,-1.822632273,JPM
5/15/2025,262.9,269.52,267.56,258.7,44983466,1.772537086,JPM
10/30/2025,305.9,310.58,298.43,297,13689547,-2.441974501,MCD
10/23/2025,307.95,312.79,305.79,305.0152,11602957,-0.701412567,MCD
10/16/2025,294.6,309.1,308.09,294,13100329,4.579090292,MCD
10/9/2025,299.04,299.645,297.01,292.04,15613739,-0.6788389513,MCD
10/2/2025,305.88,306.105,300.98,298.3,14059073,-1.6019354,MCD
9/25/2025,302.32,306.33,305.24,300.315,13905547,0.9658639852,MCD
9/18/2025,305.14,306.58,302.38,297.88,20195576,-0.9045028512,MCD
9/11/2025,312.82,313.7,305.4,304.61,13498910,-2.371971102,MCD
9/4/2025,313.05,319.425,314.38,312.325,11752312,0.42485226,MCD
